Metric,Model,Seed2,Seed40,Seed41,Seed64,Seed79,Seed60,Seed22,mean_result,std_result
ACC,VQ-TF,0.8994,0.9025,0.8962,0.8899,0.8836,0.8899,0.8805,,
,Moss-m7G,0.8679,0.8679,0.8648,0.8711,0.8742,0.8648,0.8616,,
,CNN,0.8459,0.8522,0.8396,0.8459,0.8616,0.8585,0.8459,,
,GRU,0.8145,0.8491,0.8553,0.8396,0.8491,0.8396,0.8553,,
,LSTM,0.7327,0.5755,0.7358,0.7799,0.7484,0.6478,0.6038,,
,Transformer,0.8679,0.8553,0.8585,0.8774,0.8805,0.8365,0.8742,,
SE,VQ-TF,0.8553,0.8491,0.8365,0.8553,0.8491,0.8491,0.8616,,
,Moss-m7G,0.8805,0.8176,0.8302,0.8428,0.8428,0.8239,0.8239,,
,CNN,0.8302,0.8365,0.8553,0.8302,0.8553,0.8302,0.8113,,
,GRU,0.8491,0.8365,0.8491,0.8302,0.8428,0.8365,0.8553,,
,LSTM,0.7358,0.5535,0.7799,0.7107,0.7673,0.6289,0.3962,,
,Transformer,0.8176,0.8113,0.8239,0.805,0.8302,0.8365,0.8491,,
SP,VQ-TF,0.9434,0.956,0.956,0.9245,0.9182,0.9308,0.8994,,
,Moss-m7G,0.8553,0.9182,0.8994,0.8994,0.9057,0.9057,0.8994,,
,CNN,0.8616,0.8679,0.8239,0.8616,0.8679,0.8868,0.8805,,
,GRU,0.7799,0.8616,0.8616,0.8491,0.8553,0.8428,0.8553,,
,LSTM,0.7296,0.5975,0.6918,0.8491,0.7296,0.6667,0.8113,,
,Transformer,0.9182,0.8994,0.8931,0.9497,0.9308,0.8365,0.8994,,
MCC,VQ-TF,0.8019,0.8097,0.7982,0.7817,0.7691,0.7825,0.7615,,
,Moss-m7G,0.7361,0.7396,0.7313,0.7433,0.7499,0.732,0.7253,,
,CNN,0.6922,0.7048,0.6796,0.6922,0.7233,0.7181,0.6935,,
,GRU,0.6304,0.6983,0.7107,0.6794,0.6982,0.6793,0.7107,,
,LSTM,0.4654,0.1511,0.4735,0.5652,0.4972,0.2958,0.2281,,
,Transformer,0.7396,0.7135,0.7187,0.7627,0.7649,0.673,0.7494,,
AUC,VQ-TF,0.9524,0.9436,0.9489,0.9319,0.9447,0.9397,0.9369,,
,Moss-m7G,0.9405,0.9244,0.934,0.9332,0.9494,0.928,0.9249,,
,CNN,0.929,0.9027,0.9084,0.9161,0.9149,0.8987,0.9053,,
,GRU,0.8964,0.9135,0.9178,0.9089,0.9125,0.8963,0.9082,,
,LSTM,0.826,0.628,0.7819,0.8199,0.8132,0.6881,0.7002,,
,Transformer,0.8998,0.9332,0.9225,0.9286,0.9203,0.9118,0.9253,,
,,,,,,,,,,
